	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
361	VRB-PASS	MOD	PRT#	P-C	995	qtl ... b+	قتل ... ب+	30		OK	OK		و+ كانت الباحثة مشيرة اليوسفي قد ذكرت ب+ أن أول رحلة طيران عثمانية فوق بلاد الشام في طريق +ها إلى مصر " قد تعرضت ل+ عدد من الكوارث حيث سقطت أولى الطائرتين اللتين بدأتا الرحلة يوم 10 شباط / فبراير من الأستانة ( إسطنبول ) أثناء تحليق +ها بين دمشق و+ بيروت و+ قتل الطيار و+ مساعد +ه في حين قتل طيار الطائرة الثانية و+ مساعد +ه ب+ القرب من يافا أثناء محاولة +ه الإقلاع , و+ قد دفن الأربعة ب+ القرب من قبر صلاح الدين الأيوبي في دمشق " .									
164	PRT	MOD	PNX-AB	P-C	959	>n ... "	أن ... "	353		OK	OK		و+ نقلت وكالة أنباء إنترفاكس عن أرخيبوف قول +ه أن الشركة س+ توقع في الأسابيع المقبلة عقدا مع المجر ل+ تحديث طائرات +ها من نوع ميغ - 29 . و+ أضاف " هذا ليس مشروعا كبيرا في نظر +نا " , لكن +ه أوضح " أن العقد س+ يكون بالغ الأهمية على الصعيد السياسي " .									
301	PRT	MOD	PRT	P-C	958	mn ... <lY	من ... إلى	106		OK	OK		سيول 15-8 ( أف ب ) - بدا اليوم الثلاثاء لم شمل العائلات الكورية بين شطري شبه الجزيرة التي قسمت +ها الحرب قبل نصف قرن , و+ هبطت طائرة تابعة ل+ الخطوط الجوية الكورية " إير كوريو " في مطار سيول اليوم الثلاثاء ل+ تصبح أول طائرة كورية شمالية تهبط في كوريا الجنوبية منذ الحرب الكورية التي استمرت من 1950 إلى 1953 .									
114	VRB-PASS	SBJ	NOM	P-C	840	Athm ... 96	اتهم ... 96	6		OK	OK		ساد الارتياح أوساط الأقباط المصريين بعد +ما أصدرت محكمة النقض يوم 30 / 7 الحالي حكما قضى ب+ قبول طعن نيابة أمن الدولة في مارس الماضي في أحكام أصدرت +ها محكمة الجنايات في محافظة سوهاج في قضية " أحداث الكشح " و+ اتهم في القضية آنذاك 96 شخصا بين +هم 57 مسلما و 39 قبطيا , و+ جاءت الأحكام مخففة و+ تسببت في غضب الأقباط .									
318	VRB	SBJ	PRT	P-C	747	ymkn ... >n	يمكن ... أن	181		OK	#N/A		و+ قال المتحدث ب+ اسم السكك الحديد أكشاي كومار أن العربة لم تكن تقل سوى 70 شخصا ب+ سبب العيد الوطني و+ الخسائر كان يمكن أن تكون أكبر ب+ كثير في الأيام العادية .									
280	NOM	IDF	PRT	P-C	795	qbl ... >n	قبل ... أن	95		OK	#N/A		و+ قال " كنت مهتما جدا ب+ الأندية الإنكليزية حتى قبل أن أذهب إلى ألمانيا " , و+ أضاف " إن +ه أمر فكرت ب +ه كثيرا لكن وجهة +ي الأولى كانت إلى بيليفيلد " .									
163	PRT	MOD	PNX-AB	C-P	774	" ... <n	" ... إن	270		OK	OK		و+ أضاف " إن العملية ل+ العودة ب+ الباقين و+ عدد +هم 193 جنديا ل+ وضع +هم في أمان , تقدمت كثيرا " .									
210	NOM	MOD	PROP	P-C	7048	Alr}ys ... yAsr	الرئيس ... ياسر	88		OK	#N/A		نيقوسيا 16-7 ( أف ب ) - الشرق - الأوسط / قمة - عقد الرئيس الأميركي بيل كلينتون و+ رئيس الوزراء الإسرائيلي إيهود باراك و+ الرئيس الفلسطيني ياسر عرفات اجتماع عمل ثلاثيا هو الثاني منذ بدء قمة كامب ديفيد .									
243	PRT	SBJ	PROP	P-C	695	>n ... <srA}yl	أن ... إسرائيل	49		OK	OK		إسرائيل / إيران / صاروخ - أعلن مسؤول عسكري إسرائيلي رفيع المستوى أن إسرائيل تعتبر أن إيران س+ تبدأ ب+ الحصول على قدرات نووية ل+ أغراض عسكرية اعتبارا من العام 2005 و+ س+ يكون ب+ وسع +ها وضع رؤوس نووية على صواريخ يمكن +ها الوصول إلى إسرائيل في غضون عشر سنوات .									
418	ROOT	---	VRB-PASS	P-C	691	--- ... y*kr	--- ... يذكر	71		OK	OK											
52	NOM	SBJ	NOM	P-C	690	byn ... stp	بين ... ستة	8		OK	OK		جولو ( الفيليبين ) 15-9 ( أف ب ) - أعلنت مصادر عسكرية ليل الجمعة السبت أن طائرات و+ مروحيات عسكرية شنت غارات ضد مواقع المتطرفين المسلمين الذين يحتجزون 22 رهينة بين +هم ستة أجانب في جزيرة جولو في جنوب الفيليبين .									
316	VRB	PRD	PRT	P-C	662	kAn ... fy	كان ... في	69		OK	OK		يذكر أن بيرسول البالغ من العمر 17 عاما هو أصغر سباح أميركي نزل تحت حاجز الدقيقتين في سباق 200 م ظهرا و+ ذلك عند +ما كان في الخامسة عشرة .									
360	VRB-PASS	MOD	PRT#	C-P	645	w+ ... s}l	و+ ... سئل	32		OK	OK		و+ سئل هل س+ يقفل ملف المهجرين هذه السنة , ف+ أجاب : " أعتقد أن +ه لو كان الموضوع مرتبطا ب+ قدرات +نا الإدارية ل+ كان الملف أغلق هذه السنة , و+ كنت قد التزمت أمام المواطنين إنجاز +ه سنة 2002 غير أن المقتضيات المالية في البلاد تفرض على +نا حفاظا على الليرة من جهة و+ أنتم تعلمون أن الحكومة جادة في الدفاع عن قدرة اللبنانيين الشرائية من خلال عملة +هم الوطنية و+ ب+ التالي لا نريد أن ندفع تعويضات وهمية ل+ الناس كما نريد أن تبقى هذه الليرة التي نعوض ب +ها المواطن ذات قيمة , ل+ ذا ف+ إن الأمر س+ يتأخر بعض الشيء أي أن المبالغ التي ستدفع س+ نوفر +ها حسب الأولويات على مدى السنتين المقبلتين و+ ننجز الملف " .									
300	PRT	MOD	PRT	C-P	644	<*A ... <n	إذا ... إن	55		OK	OK		و+ سبق ل+ أفينتاخادو أن توج بطلا ل+ الراليات في بلاد +ه أربع مرات في الثمانينات و+ يقول في هذا الصدد : " إذا كانت رياضة السيارات علمت +ني المجازفة , ف+ إن التايكواندو منح +ني الراحة النفسية , و+ هذه الأمر جعل +ني ناجحا في عمل +ي ك+ مفاوض ل+ إطلاق الرهائن " .									
87	PRT	SBJ	NOM	C-P	544	*lk ... fy	ذلك ... في	32		OK	OK		و+ كان الرئيس الفلسطيني ياسر عرفات قد كرس في 15 تشرين الثاني / نوفمبر عام 1988 إعلانا رمزيا ل+ الدولة الفلسطينية من الجزائر و+ ذلك في ذورة الانتفاضة الفلسطينية الأولى التي استمرت سبع سنوات حتى توقيع اتفاقات السلام في أوسلو عام 1993 .									
255	VRB	OBJ	PROP	P-C	514	Athm ... <srA}yl	اتهم ... إسرائيل	5		OK	OK		و+ اتهم الوزير الشرع إسرائيل " ب+ نشر التهديدات ضد سوريا و+ لبنان اللذين يطالبان ب+ تطبيق القرارات الدولية " .									
220	PNX-AB	---	PROP	P-C	403	/ ... sbtmbr	/ ... سبتمبر	81		OK	#N/A		و+ قد وصل الزعيم ألفلسطينيني قادما من الصين التي زار +ها ل+ مدة 24 ساعة و+ حصل في +ها على تأييد حذر ل+ مشروع إعلان الدولة الفلسطينية في 13 أيلول / سبتمبر من جانب واحد .									
159	PROP	---	PNX-AB	P-C	380	>ylwl ... /	أيلول ... /	81		OK	#N/A		و+ قد وصل الزعيم ألفلسطينيني قادما من الصين التي زار +ها ل+ مدة 24 ساعة و+ حصل في +ها على تأييد حذر ل+ مشروع إعلان الدولة الفلسطينية في 13 أيلول / سبتمبر من جانب واحد .									
198	PRT#	MOD	PNX-B	P-C	302	l+ ... ,	ل+ ... ,	80		OK	#N/A		و+ ل+ الأسطول الأميركي غواصة صغيرة تسمى مركبة الإنقاذ في المياه العميقة قادرة على إنقاذ 24 بحارا دفعة واحدة , ك+ ما يقول المسؤولون في البحرية .									
326	VRB-PASS	SBJ	PRT	P-C	193	y*kr ... >n	يذكر ... أن	60		OK	#N/A		يذكر أن بيرسول البالغ من العمر 17 عاما هو أصغر سباح أميركي نزل تحت حاجز الدقيقتين في سباق 200 م ظهرا و+ ذلك عند +ما كان في الخامسة عشرة .									
304	PRT	PRD	PRT	P-C	382	lA ... l	لا ... ل	53		OK	#N/A		و+ كانت صحيفة +++ بيان +++ صدرت في كانون الأول / ديسمبر الماضي من قبل الفريق الصحافي الذي كان في صحيفة +++ سلام +++ التي أغلقت في حزيران / يونيو 1999 و+ أدى إغلاق +ها إلى اضطرابات شعبية و+ طلابية لا سابق ل +ها في الجمهورية الإسلامية أوقعت ثلاثة قتلى وفق الأرقام الرسمية .									
351	PRT#	MOD	PRT#	P-C	429	b+ ... w+	ب+ ... و+	178		OK	OK		و+ تجري شركة +++ ميغ +++ أيضا مفاوضات مع النمسا ل+ تزويد أسطول +ها الجوي ب+ طائرات ميغ - 29 إس . إم . تي المجهزة ب+ أحدث الأنظمة الدفاعية و+ المزودة ب+ خزان إضافي ل+ المحروقات و+ ب+ جهاز تحكم إلكتروني حديث .									
184	NOM	MOD	PNX-B	C-P	410	: ... 1	: ... 1	25		NO WAY	OK		عدد الأجزاء : 1									
283	NOM	OBJ	PRT	P-C	318	mEtbrA ... >n	معتبرا ... أن	38		OK	#N/A		الهند / باكستان - اتهم رئيس الوزراء الهندي أتال بيهاري فاجبايي باكستان ب+ الكلام عن السلام ب+ شأن كشمير و+ ب+ الوقوف في الوقت نفس +ه وراء حملة إرهابية في هذه المنطقة المنقسمة بين البلدين . و+ قال في خطاب ب+ مناسبة عيد الاستقلال أن كشمير س+ تبقى جزءا لا يتجزأ من الهند محذرا إسلام آباد من أن +ها س+ ترتكب " خطأ فادحا " في حال اعتقدت عكس ذلك . و+ أضاف " إن عقارب الساعة لا يمكن أن تعود إلى الوراء " معتبرا أن من المستحيل في القرن الحادي و+ العشرين تعديل الحدود " ب+ حد السيف " .									
402	VRB	PRD	VRB	P-C	1193	kAn ... >Eln	كان ... أعلن	33		OK	#N/A		و+ كان مصدر رسمي أعلن اليوم السبت تحرير عناصر القوة الدولية ال 233 المحاصرين منذ أكثر من شهرين من قبل المتمردين شرق سيراليون و+ ذلك نتيجة تدخل عسكري ل+ بعثة الأمم المتحدة إلى سيراليون .									
349	PRT	PRD	PRT#	P-C	82	lA ... l+	لا ... ل+	32		OK	#N/A		و+ لا مجال ل+ الارتباك بعد الآن . ف+ المسافر المتوجه إلى سان فرانسيسكو , س+ يسلك طريق +ه مباشرة مستعينا ب+ كتاب - دليل عن المدينة و+ س+ يختار المعلومات التي تهم +ه و+ يضيف إلى +ها فصلا من دليل آخر عن المنطقة المجاورة حول الخمور أو الحديقة الوطنية في يوسيميتي .									
322	VRB-PASS	MOD	PRT	C-P	380	lA ... ywjd	لا ... يوجد	12		OK	OK		و+ ردا على سؤال ل+ وكالة فرانس برس ب+ شأن احتمال وجود مفاوضين إسرائيليين قالت متحدثة ب+ اسم السفارة الإسرائيلية في القاهرة " لا , لا يوجد مسؤولون إسرائيليون اليوم في مصر " .									
296	PROP	MOD	PRT	P-C	378	HmAs ... w	حماس ... و	9		OK	OK		ف+ قد كان ل " حماس " و " الجهاد " أكثر من 10 في المئة في الماضي , كما أن +ه بقي ل+ عرفات أكثر من 20 في المئة الآن , ل+ أن مثل هذه النسبة تعني الانقلاب .									
157	PNX-AB	MOD	PNX-AB	P-C	33	" ... "	" ... "	30		NO WAY	#N/A		و+ أوضح أن البلدين أكدا ضرورة إقامة علاقات حسن جوار على أساس اتفاق 1997 , مؤكدا " قرر +نا أن ندخل هذه المسألة ب+ كل جد حتى نقيم علاقات حسن جوار متكافئة بين بلدي +نا " .									
365	#PRT	OBJ	VRB	P-C	487	+mA ... kAn	+ما ... كان	27		OK	#N/A		يذكر أن بيرسول البالغ من العمر 17 عاما هو أصغر سباح أميركي نزل تحت حاجز الدقيقتين في سباق 200 م ظهرا و+ ذلك عند +ما كان في الخامسة عشرة .									
